ᆜ	j ɯ	jㅡ
도서관원	t o̞ sʰ ʌ̹ ɡ w a̠ n w ʌ̹ n	도서과눤
도시화	t o̞ ɕʰ i β w a̠	도시화
도야지	t o̞ j a̠ d͡ʑ i	도야지
도예가	t o̞ j e̞ ɡ a̠	도예가
도와주다	t o̞ w a̠ d͡ʑ u d a̠	도와주다
도움말	t o̞ u m m a̠ ɭ	도움말
도이	t o̞ i	도이
도이췰란드	t o̞ i t͡ɕʰ ɥ i ɭ ɭ a̠ n d ɯ	도이췰란드
도착하다	t o̞ː t͡ɕʰ a̠ kʰ a̠ d a̠	도차카다
도토리묵	t o̞ tʰ o̞ ɾ i m u k̚	도토리묵
독	t o̞ k̚	독
독고	t o̞ k̚ k͈ o̞	독꼬
독미나리	t o̞ ŋ m i n a̠ ɾ i	동미나리
독본	t o̞ k̚ p͈ o̞ n	독뽄
독불장군	t o̞ k̚ p͈ u ʎ d͡ʑ a̠ ŋ ɡ u n	독뿔장군
독서하다	t o̞ k s͈ ʌ̹ ɦ a̠ d a̠	독써하다
독어	t o̞ ɡ ʌ̹	도거
돈	t o̞ː n	돈
돈까스	t o̞ n k͈ a̠ sʰ ɯ	돈까스
돈닢	t o̞ n n i p̚	돈닙
돈벌레	t o̞ n p͈ ʌ̹ ɭ ɭ e̞	돈뻘레
돋우다	t o̞ d u d a̠	도두다
돌	t o̞ ɭ	돌
돌가자미	t o̞ ɭ ɡ a̠ d͡ʑ a̠ m i	돌가자미
돌격하다	t o̞ ɭ ɡ j ʌ̹ kʰ a̠ d a̠	돌겨카다
돌려주다	t o̞ ʎ ʎ ʌ̹ d͡ʑ u d a̠	돌러주다
돌마자	t o̞ ɭ m a̠ d͡ʑ a̠	돌마자
돌무화과나무	t o̞ ɭ m u β w a̠ ɡ w a̠ n a̠ m u	돌무화과나무
돌아보다	t o̞ ɾ a̠ b o̞ d a̠	도라보다
돌아서다	t o̞ ɾ a̠ sʰ ʌ̹ d a̠	도라서다
돌출	t o̞ ʎ t͡ɕʰ u ɭ	돌출
돌파되다	t o̞ ɭ pʰ a̠ d w e̞ d a̠	돌파되다
돌파하다	t o̞ ɭ pʰ a̠ ɦ a̠ d a̠	돌파하다
돐	t o̞ ɭ	돌
돔발상어	t o̞ m b a̠ ɭ sʰ a̠ ŋ ʌ̹	돔발상어
동	t o̞ ŋ	동
동거하다	t o̞ ŋ ɡ ʌ̹ ɦ a̠ d a̠	동거하다
동경하다	t o̞ː ŋ ɡ j ʌ̹ ŋ ɦ a̠ d a̠	동경하다
동계	t o̞ ŋ ɡ j e̞	동계
동궁	t o̞ ŋ ɡ u ŋ	동궁
동그랗다	t o̞ ŋ ɡ ɯ ɾ a̠ tʰ a̠	동그라타
동글동글	t o̞ ŋ ɡ ɯ ɭ d o̞ ŋ ɡ ɯ ɭ	동글동글
동녘	t o̞ ŋ ɲ ʌ̹ k̚	동넉
동독	t o̞ ŋ d o̞ k̚	동독
동등하다	t o̞ ŋ d ɯ ŋ ɦ a̠ d a̠	동등하다
동명사	t o̞ː ŋ m j ʌ̹ ŋ sʰ a̠	동명사
동명인	t o̞ ŋ m j ʌ̹ ŋ i n	동명인
동박꽃	t o̞ ŋ b a̠ k̚ k͈ o̞ t̚	동박꼳
동봉하다	t o̞ ŋ b o̞ ŋ ɦ a̠ d a̠	동봉하다
동북아	t o̞ ŋ b u ɡ a̠	동부가
동사하다	t o̞ː ŋ sʰ a̠ ɦ a̠ d a̠	동사하다
동상이몽	t o̞ ŋ sʰ a̠ ŋ i m o̞ ŋ	동상이몽
동서고금	t o̞ ŋ sʰ ʌ̹ ɡ o̞ ɡ ɯ m	동서고금
동성혼	t o̞ ŋ sʰ ʌ̹ ŋ β o̞ n	동성혼
동양학	t o̞ ŋ j a̠ ŋ ɦ a̠ k̚	동양학
동역학	t o̞ː ŋ ɲ ʌ̹ kʰ a̠ k̚	동너칵
동영상	t o̞ː ŋ ɲ ʌ̹ ŋ sʰ a̠ ŋ	동넝상
동원	t o̞ː ŋ w ʌ̹ n	동원
동원령	t o̞ː ŋ w ʌ̹ n ɲ ʌ̹ ŋ	동원넝
동음이의어	t o̞ ŋ ɯ m i ɰ i ʌ̹	동으미의어
동의하다	t o̞ ŋ ɰ i ɦ a̠ d a̠	동의하다
동자	t o̞ ŋ d͡ʑ a̠	동자
동작하다	t o̞ː ŋ d͡ʑ a̠ kʰ a̠ d a̠	동자카다
동정남	t o̞ː ŋ d͡ʑ ʌ̹ ŋ n a̠ m	동정남
동정녀	t o̞ː ŋ d͡ʑ ʌ̹ ŋ ɲ ʌ̹	동정너
동향	t o̞ː ŋ ʝ a̠ ŋ	동항
돛	t o̞ t̚	돋
되	t w e̞	되
되갈다	t w e̞ ɡ a̠ ɭ d a̠	되갈다
되감다	t w e̞ ɡ a̠ m t͈ a̠	되감따
되강오리	t w e̞ː ɡ a̠ ŋ o̞ ɾ i	되강오리
되뇌다	t w e̞ n w e̞ d a̠	되뇌다
되돌리다	t w e̞ d o̞ ʎ ʎ i d a̠	되돌리다
되살다	t w e̞ sʰ a̠ ɭ d a̠	되살다
되살리다	t w e̞ sʰ a̠ ʎ ʎ i d a̠	되살리다
되야지	t w e̞ j a̠ d͡ʑ i	되야지
되어	t w e̞ ʌ̹	되어
되지빠귀	t w e̞ː d͡ʑ i p͈ a̠ ɡ ɥ i	되지빠귀
된시옷	t w e̞ː n ɕʰ i o̞ t̚	된시옫
된지읒	t w e̞ ɲ d͡ʑ i ɯ t̚	된지읃
됭경모치	t w e̞ ŋ ɡ j ʌ̹ ŋ m o̞ t͡ɕʰ i	됭경모치
두	t uː	두
두덩	t u d ʌ̹ ŋ	두덩
두레	t u ɾ e̞	두레
두려워하다	t u ɾ j ʌ̹ w ʌ̹ ɦ a̠ d a̠	두려워하다
두루	t u ɾ u	두루
두루마기	t u ɾ u m a̠ ɡ i	두루마기
두루마리	t u ɾ u m a̠ ɾ i	두루마리
두루바리	t u ɾ u b a̠ ɾ i	두루바리
두릅	t u ɾ ɯ p̚	두릅
두릅나무	t u ɾ ɯ m n a̠ m u	두름나무
두리안	t u ɾ i a̠ n	두리안
두만가시고기	t u m a̠ n ɡ a̠ ɕʰ i ɡ o̞ ɡ i	두만가시고기
두문자	t u m u ɲ t͡ɕ͈ a̠	두문짜
두샨베	t u ɕʰ a̠ n b e̞	두산베
두셋	t u sʰ e̞ t̚	두섿
두어서넛	t u ʌ̹ sʰ ʌ̹ n ʌ̹ t̚	두어서넏
두절되다	t u d͡ʑ ʌ̹ ɭ d w e̞ d a̠	두절되다
두절하다	t u d͡ʑ ʌ̹ ɾ ɦ a̠ d a̠	두절하다
두티다	t u tʰ i d a̠	두티다
둑	t u k̚	둑
둔	t uː n	둔
둔갑	t uː n ɡ a̠ p̚	둔갑
둔갑법	t uː n ɡ a̠ p̚ p͈ ʌ̹ p̚	둔갑뻡
둔하다	t uː n ɦ a̠ d a̠	둔하다
둘	t uː ɭ	둘
둘레	t u ɭ ɭ e̞	둘레
둥간어	t u ŋ ɡ a̠ n ʌ̹	둥가너
둥글다	t u ŋ ɡ ɯ ɭ d a̠	둥글다
뒤	t ɥ iː	뒤
뒤꿈치	t ɥ i k͈ u m t͡ɕʰ i	뒤꿈치
뒤따르다	t ɥ iː t͈ a̠ ɾ ɯ d a̠	뒤따르다
뒤떨어지다	t ɥ iː t͈ ʌ̹ ɾ ʌ̹ d͡ʑ i d a̠	뒤떠러지다
뒤섞다	t ɥ i sʰ ʌ̹ k̚ t͈ a̠	뒤석따
뒤영벌	t ɥ i j ʌ̹ ŋ b ʌ̹ ɭ	뒤영벌
뒤쥐	t ɥ i d͡ʑ ɥ i	뒤쥐
뒷맛	t ɥ i n m a̠ t̚	뒨맏
뒷문	t ɥ iː n m u n	뒨문
뒷북	t ɥ i t̚ p͈ u k̚	뒫뿍
뒹굴다	t ɥ i ŋ ɡ u ɭ d a̠	뒹굴다
드가다	t ɯ ɡ a̠ d a̠	드가다
드뎌	t ɯ d j ʌ̹	드뎌
드라이기	t ɯ ɾ a̠ i ɡ i	드라이기
드러나다	t ɯ ɾ ʌ̹ n a̠ d a̠	드러나다
드렁허리	t ɯ ɾ ʌ̹ ŋ ɦ ʌ̹ ɾ i	드렁허리
드론	t ɯ ɾ o̞ n	드론
드르렁드르렁	t ɯ ɾ ɯ ɾ ʌ̹ ŋ d ɯ ɾ ɯ ɾ ʌ̹ ŋ	드르렁드르렁
드리다	t ɯ ɾ i d a̠	드리다
드리우다	t ɯ ɾ i u d a̠	드리우다
드링크	t ɯ ɾ i ŋ k x ɯ	드링크
드시다	t ɯ ɕʰ i d a̠	드시다
득	t ɯ k̚	득
득남하다	t ɯ ŋ n a̠ m ɦ a̠ d a̠	등남하다
득녀하다	t ɯ ŋ ɲ ʌ̹ ɦ a̠ d a̠	등너하다
득도	t ɯ k̚ t͈ o̞	득또
득도하다	t ɯ k̚ t͈ o̞ ɦ a̠ d a̠	득또하다
득의양양	t ɯ ɡ ɰ i j a̠ ŋ j a̠ ŋ	드긔양양
득의양양하다	t ɯ ɡ ɰ i j a̠ ŋ j a̠ ŋ ɦ a̠ d a̠	드긔양양하다
득점판	t ɯ k̚ t͡ɕ͈ ʌ̹ m pʰ a̠ n	득쩜판
득템	t ɯ k̚ tʰ e̞ m	득템
든	t ɯ n	든
들	t ɯː ɭ	들
들뜨다	t ɯ ɭ t͈ ɯ d a̠	들뜨다
들려오다	t ɯ ʎ ʎ ʌ̹ o̞ d a̠	들러오다
들리다	t ɯ ʎ ʎ i d a̠	들리다
들어올리다	t ɯ ɾ ʌ̹ o̞ ʎ ʎ i d a̠	드러올리다
들이마시다	t ɯ ɾ i m a̠ ɕʰ i d a̠	드리마시다
들이밀다	t ɯ ɾ i m i ɭ d a̠	드리밀다
들쥐	t ɯ ʎ d͡ʑ ɥ i	들쥐
들창	t ɯ ʎ t͡ɕʰ a̠ ŋ	들창
들창코	t ɯ ʎ t͡ɕʰ a̠ ŋ kʰ o̞	들창코
들창코원숭이	t ɯ ʎ t͡ɕʰ a̠ ŋ kʰ o̞ w ʌ̹ n sʰ u ŋ i	들창코원숭이
들치기	t ɯ ʎ t͡ɕʰ i ɡ i	들치기
듯	t ɯ t̚	듣
등	t ɯ ŋ	등
등걸	t ɯ ŋ ɡ ʌ̹ ɭ	등걸
등광	t ɯ ŋ ɡ w a̠ ŋ	등광
등굣길	t ɯ ŋ ɡ j o t̚ k͈ i ɭ	등굗낄
등기우편	t ɯ ŋ ɡ i u pʰ j ʌ̹ n	등기우편
등드름	t ɯ ŋ d ɯ ɾ ɯ m	등드름
등락	t ɯ ŋ n a̠ k̚	등낙
등락하다	t ɯ ŋ n a̠ kʰ a̠ d a̠	등나카다
등록기	t ɯ ŋ n o̞ k̚ k͈ i	등녹끼
등록하다	t ɯ ŋ n o̞ kʰ a̠ d a̠	등노카다
등롱	t ɯ ŋ n o̞ ŋ	등농
등산로	t ɯ ŋ sʰ a̠ n n o̞	등산노
등산하다	t ɯ ŋ sʰ a̠ n ɦ a̠ d a̠	등산하다
등송	t ɯ ŋ sʰ o̞ ŋ	등송
등송하다	t ɯ ŋ sʰ o̞ ŋ ɦ a̠ d a̠	등송하다
등식	t ɯ ŋ ɕʰ i k̚	등식
등잔	t ɯ ŋ d͡ʑ a̠ n	등잔
등장하다	t ɯ ŋ d͡ʑ a̠ ŋ ɦ a̠ d a̠	등장하다
등줄쥐	t ɯ ŋ d͡ʑ u ʎ d͡ʑ ɥ i	등줄쥐
등피	t ɯ ŋ pʰ i	등피
등허리	t ɯ ŋ ɦ ʌ̹ ɾ i	등허리
디	t i	디
디스프로슘	t i sʰ ɯ pʰ ɯ ɾ o̞ ɕʰ u m	디스프로숨
딜	t i ɭ	딜
딜리	t i ʎ ʎ i	딜리
딥톡	t i p̚ tʰ o̞ k̚	딥톡
딮	t i p̚	딥
따	t͈ a̠	따
따깐	t͈ a̠ k͈ a̠ n	따깐
따라오다	t͈ a̠ ɾ a̠ o̞ d a̠	따라오다
따오다	t͈ a̠ o̞ d a̠	따오다
딱	t͈ a̠ k̚	딱
딱다그르르딱다그르르하다	t͈ a̠ k̚ t͈ a̠ ɡ ɯ ɾ ɯ ɾ ɯ t͈ a̠ k̚ t͈ a̠ ɡ ɯ ɾ ɯ ɾ ɯ ɦ a̠ d a̠	딱따그르르딱따그르르하다
딱따구리	t͈ a̠ k̚ t͈ a̠ ɡ u ɾ i	딱따구리
딱정그리마	t͈ a̠ k̚ t͡ɕ͈ ʌ̹ ŋ ɡ ɯ ɾ i m a̠	딱쩡그리마
딴	t͈ a̠ n	딴
딸	t͈ a̠ ɭ	딸
딸감	t͈ a̠ ɭ k͈ a̠ m	딸깜
딸딸이	t͈ a̠ ɭ t͈ a̠ ɾ i	딸따리
딸아들	t͈ a̠ ɾ a̠ d ɯ ɭ	따라들
땀	t͈ a̠ m	땀
땃쥐	t͈ a̠ t̚ t͡ɕ͈ ɥ i	딷쮜
땅	t͈ a̠ ŋ	땅
땅감	t͈ a̠ ŋ ɡ a̠ m	땅감
땅거미	t͈ a̠ ŋ k͈ ʌ̹ m i	땅꺼미
땅벌	t͈ a̠ ŋ b ʌ̹ ɭ	땅벌
땅속길	t͈ a̠ ŋ s͈ o̞ k̚ k͈ i ɭ	땅쏙낄
땅이름	t͈ a̠ ŋ i ɾ ɯ m	땅이름
땅크	t͈ a̠ ŋ k x ɯ	땅크
땅흔들림	t͈ a̠ ŋ ɣ ɯ n d ɯ ʎ ʎ i m	땅흔들림
때다	t͈ ɛː d a̠	때다
땔나무	t͈ ɛː ɭ ɭ a̠ m u	땔라무
떠나가다	t͈ ʌ̹ n a̠ ɡ a̠ d a̠	떠나가다
떠벌리다	t͈ ʌ̹ b ʌ̹ ʎ ʎ i d a̠	떠벌리다
떠올리다	t͈ ʌ̹ o̞ ʎ ʎ i d a̠	떠올리다
떡	t͈ ʌ̹ k̚	떡
떡갈나무	t͈ ʌ̹ k̚ k͈ a̠ ɭ ɭ a̠ m u	떡깔라무
떡밥	t͈ ʌ̹ k̚ p͈ a̠ p̚	떡빱
떡붕어	t͈ ʌ̹ k̚ p͈ u ŋ ʌ̹	떡뿡어
떡치다	t͈ ʌ̹ k̚ t͡ɕʰ i d a̠	떡치다
떰치	t͈ ʌ̹ m t͡ɕʰ i	떰치
떼	t͈ e̞	떼
떼아트르	t͈ e̞ a̠ tʰ ɯ ɾ ɯ	떼아트르
떼짓다	t͈ e̞ d͡ʑ i t̚ t͈ a̠	떼짇따
떽	t͈ e̞ k̚	떽
뗀노	t͈ e̞ n n o̞	뗀노
또	t͈ o̞	또
똑	t͈ o̞ k̚	똑
똘똘이	t͈ o̞ ɭ t͈ o̞ ɾ i	똘또리
똠얌	t͈ o̞ m j a̠ m	또먐
똥	t͈ o̞ ŋ	똥
똥구멍	t͈ o̞ ŋ k͈ u m ʌ̹ ŋ	똥꾸멍
똥까시	t͈ o̞ ŋ k͈ a̠ ɕʰ i	똥까시
똥남아	t͈ o̞ ŋ n a̠ m a̠	똥나마
똥싸다	t͈ o̞ ŋ s͈ a̠ d a̠	똥싸다
똥양인	t͈ o̞ ŋ j a̠ ŋ i n	똥양인
똥차	t͈ o̞ ŋ t͡ɕʰ a̠	똥차
똬리	t͈ w a̠ ɾ i	똬리
뚊	t͈ j o m	뚐
뚝뚝하다	t͈ u k̚ t͈ u kʰ a̠ d a̠	뚝뚜카다
뚧다	t͈ uː ɭ t͈ a̠	뚤따
뚫리다	t͈ u ʎ ʎ i d a̠	뚤리다
뛰르끼예	t͈ ɥ i ɾ ɯ k͈ i j e̞	뛰르끼예
뛰어넘다	t͈ ɥ i ʌ̹ n ʌ̹ m t͈ a̠	뛰어넘따
뜨거워지다	t͈ ɯ ɡ ʌ̹ w ʌ̹ d͡ʑ i d a̠	뜨거워지다
뜨락또르	t͈ ɯ ɾ a̠ k̚ t͈ o̞ ɾ ɯ	뜨락또르
뜬금없다	t͈ ɯ n ɡ ɯ m ʌ̹ p̚ t͈ a̠	뜬그멉따
뜬금포	t͈ ɯ n ɡ ɯ m pʰ o̞	뜬금포
뜬소문	t͈ ɯ n sʰ o̞ m u n	뜬소문
뜰	t͈ ɯ ɭ	뜰
뜸씨	t͈ ɯ m ɕ͈ i	뜸씨
뜸팡이	t͈ ɯ m pʰ a̠ ŋ i	뜸팡이
뜻	t͈ ɯ t̚	뜯
띄다	t͈ iː d a̠	띠다
띄우다	t͈ i u d a̠	띠우다
띠	t͈ i	띠
띠걸이	t͈ i ɡ ʌ̹ ɾ i	띠거리
띠다	t͈ iː d a̠	띠다
띠앗	t͈ i a̠ t̚	띠앋
띵띵	t͈ i ŋ t͈ i ŋ	띵띵
라	ɾ a̠	라
라그나로크	ɾ a̠ ɡ ɯ n a̠ ɾ o̞ k x ɯ	라그나로크
라마야나	ɾ a̠ m a̠ j a̠ n a̠	라마야나
라비올리	ɾ a̠ b i o̞ ʎ ʎ i	라비올리
라선특별시	ɾ a̠ sʰ ʌ̹ n tʰ ɯ k̚ p͈ j ʌ̹ ɭ ɕʰ i	라선특뼐시
라오어	ɾ a̠ o̞ ʌ̹	라오어
라이터돌	ɾ a̠ i tʰ ʌ̹ d o̞ ɭ	라이터돌
라이트세이버	ɾ a̠ i tʰ ɯ sʰ e̞ i b ʌ̹	라이트세이버
라지에타	ɾ a̠ d͡ʑ i e̞ tʰ a̠	라지에타
라지오	ɾ a̠ d͡ʑ i o̞	라지오
라찰	ɾ a̠ t͡ɕʰ a̠ ɭ	라찰
라침반	ɾ a̠ t͡ɕʰ i m b a̠ n	라침반
라켓	ɾ a̠ kʰ e̞ t̚	라켇
라크로스	ɾ a̠ k x ɯ ɾ o̞ s͈ ɯ	라크로쓰
라틴화	ɾ a̠ tʰ i n β w a̠	라틴화
락	ɾ a̠ k̚	락
락다운	ɾ a̠ k̚ t͈ a̠ u n	락따운
락사	ɾ a̠ k s͈ a̠	락싸
란	ɾ a̠ n	란
란소	ɾ a̠ n sʰ o̞	란소
란타넘	ɾ a̠ n tʰ a̠ n ʌ̹ m	란타넘
람	ɾ a̠ m	람
랍	ɾ a̠ p̚	랍
랍치	ɾ a̠ p̚ t͡ɕʰ i	랍치
랑	ɾ a̠ ŋ	랑
래빈	ɾ ɛː b i n	래빈
랭장고	ɾ ɛː ŋ d͡ʑ a̠ ŋ ɡ o̞	랭장고
량	ɾ j a̠ ŋ	량
량반	ɾ j a̠ ŋ b a̠ n	량반
량서류	ɾ j a̠ː ŋ sʰ ʌ̹ ɾ j u	량서류
량심	ɾ j a̠ ŋ ɕʰ i m	량심
러	ɾ ʌ̹	러
러닝셔츠	ɾ ʌ̹ n i ŋ ɕʰ ʌ̹ t͡ɕʰ ɯ	러닝서츠
러더포듐	ɾ ʌ̹ d ʌ̹ pʰ o̞ d j u m	러더포듐
러브샷	ɾ ʌ̹ b ɯ ɕʰ a̠ t̚	러브삳
럼	ɾ ʌ̹ m	럼
레	ɾ e̞	레
레깅스	ɾ e̞ ɡ i ŋ s͈ ɯ	레깅쓰
레늄	ɾ e̞ ɲ u m	레눔
레닌	ɾ e̞ n i n	레닌
레루	ɾ e̞ː ɾ u	레루
레모네이드	ɾ e̞ m o̞ n e̞ i d ɯ	레모네이드
레악토르	ɾ e̞ a̠ k̚ tʰ o̞ ɾ ɯ	레악토르
레오	ɾ e̞ o̞	레오
레위기	ɾ e̞ ɥ i ɡ i	레위기
레이다	ɾ e̞ i d a̠	레이다
레전드	ɾ e̞ d͡ʑ ʌ̹ n d ɯ	레전드
레코더	ɾ e̞ kʰ o̞ d ʌ̹	레코더
렌더링	ɾ e̞ n d ʌ̹ ɾ i ŋ	렌더링
려	ɾ j ʌ̹	려
려권	ɾ j ʌ̹ ɡ w ʌ̹ n	려권
려단	ɾ j ʌ̹ d a̠ n	려단
력	ɾ j ʌ̹ k̚	력
력사	ɾ j ʌ̹ k s͈ a̠	력싸
련	ɾ j ʌ̹ n	련
련방	ɾ j ʌ̹ n b a̠ ŋ	련방
련속극	ɾ j ʌ̹ n sʰ o̞ k̚ k͈ ɯ k̚	련속끅
렬도	ɾ j ʌ̹ ɭ t͈ o̞	렬또
렬차	ɾ j ʌ̹ ʎ t͡ɕʰ a̠	렬차
렴	ɾ j ʌ̹ m	렴
령	ɾ j ʌ̹ ŋ	령
령동	ɾ j ʌ̹ ŋ d o̞ ŋ	령동
령사	ɾ j ʌ̹ ŋ sʰ a̠	령사
령서	ɾ j ʌ̹ ŋ sʰ ʌ̹	령서
례	ɾ j e̞	례
례절	ɾ j e̞ d͡ʑ ʌ̹ ɭ	례절
로	ɾ o̞	로
로그아웃	ɾ o̞ ɡ ɯ a̠ u t̚	로그아욷
로동계급	ɾ o̞ d o̞ ŋ ɡ j e̞ ɡ ɯ p̚	로동계급
로동자구	ɾ o̞ d o̞ ŋ d͡ʑ a̠ ɡ u	로동자구
로듐	ɾ o̞ d j u m	로듐
로마자화	ɾ o̞ m a̠ d͡ʑ a̠ β w a̠	로마자화
로메	ɾ o̞ m e̞	로메
로베르트	ɾ o̞ b e̞ ɾ ɯ tʰ ɯ	로베르트
로비	ɾ o̞ b i	로비
로사	ɾ o̞ː sʰ a̠	로사
로선	ɾ o̞ː sʰ ʌ̹ n	로선
로씨야말	ɾ o̞ ɕ͈ i j a̠ m a̠ ɭ	로씨야말
로조	ɾ o̞ d͡ʑ o̞	로조
로천	ɾ o̞ t͡ɕʰ ʌ̹ n	로천
로케트	ɾ o̞ kʰ e̞ tʰ ɯ	로케트
로테르담	ɾ o̞ tʰ e̞ ɾ ɯ d a̠ m	로테르담
로텔레	ɾ o̞ tʰ e̞ ɭ ɭ e̞	로텔레
로티니	ɾ o̞ tʰ i n i	로티니
록	ɾ o̞ k̚	록
론	ɾ o̞ n	론
론단	ɾ o̞ n d a̠ n	론단
론문	ɾ o̞ n m u n	론문
롤	ɾ o̞ ɭ	롤
롬곡	ɾ o̞ m ɡ o̞ k̚	롬곡
롯	ɾ o̞ t̚	롣
롱담	ɾ o̞ː ŋ d a̠ m	롱담
뢰	ɾ w e̞	뢰
뢴트게늄	ɾ w e̞ n tʰ ɯ ɡ e̞ ɲ u m	뢴트게눔
료금	ɾ j oː ɡ ɯ m	료금
료리	ɾ j o ɾ i	료리
료리사	ɾ j o ɾ i sʰ a̠	료리사
료리하다	ɾ j o ɾ i ɦ a̠ d a̠	료리하다
룡	ɾ j o ŋ	룡
루	ɾ u	루
루멘	ɾ u m e̞ n	루멘
루므니야	ɾ u m ɯ n i j a̠	루므니야
루바슈카	ɾ u b a̠ ɕʰ u kʰ a̠	루바수카
루비	ɾ u b i	루비
루비듐	ɾ u b i d j u m	루비듐
루시퍼	ɾ u ɕʰ i pʰ ʌ̹	루시퍼
루안다	ɾ u a̠ n d a̠	루안다
루이	ɾ u i	루이
루이스	ɾ u i sʰ ɯ	루이스
루이지아나	ɾ u i d͡ʑ i a̠ n a̠	루이지아나
루페	ɾ u pʰ e̞	루페
룩	ɾ u k̚	룩
룸메이트	ɾ u m m e̞ i tʰ ɯ	룸메이트
류	ɾ j uː	류
류블랴나	ɾ j u b ɯ ʎ ʎ a̠ n a̠	류블라나
류혈	ɾ j u ʝ ʌ̹ ɭ	류헐
류형	ɾ j uː ʝ ʌ̹ ŋ	류헝
륙	ɾ j u k̚	륙
륙군	ɾ j u k̚ k͈ u n	륙꾼
륙십	ɾ j u k ɕ͈ i p̚	륙씹
륙진방언	ɾ j u k̚ t͡ɕ͈ i n b a̠ ŋ ʌ̹ n	륙찐방언
리	ɾ i	리
리가토니	ɾ i ɡ a̠ tʰ o̞ n i	리가토니
리두	ɾ iː d u	리두
리똬	ɾ i t͈ w a̠	리똬
리모넨	ɾ i m o̞ n e̞ n	리모넨
리브르빌	ɾ i b ɯ ɾ ɯ b i ɭ	리브르빌
리비도	ɾ i b i d o̞	리비도
리사이틀	ɾ i sʰ a̠ i tʰ ɯ ɭ	리사이틀
리을	ɾ i ɯ ɭ	리을
리자이나	ɾ i d͡ʑ a̠ i n a̠	리자이나
리투아니아어	ɾ i tʰ u a̠ n i a̠ ʌ̹	리투아니아어
린우드	ɾ i n u d ɯ	리누드
릴	ɾ i ɭ	릴
릴롱궤	ɾ i ɭ ɭ o̞ ŋ ɡ w e̞	릴롱궤
림	ɾ i m	림
립법	ɾ i p̚ p͈ ʌ̹ p̚	립뻡
립자	ɾ i p̚ t͡ɕ͈ a̠	립짜
링	ɾ i ŋ	링
마	m a̠	마
마감	m a̠ ɡ a̠ m	마감
마고	m a̠ ɡ o̞	마고
마고자	m a̠ː ɡ o̞ d͡ʑ a̠	마고자
마귀상어	m a̠ ɡ ɥ i sʰ a̠ ŋ ʌ̹	마귀상어
마귀할멈	m a̠ ɡ ɥ i ɦ a̠ ɭ m ʌ̹ m	마귀할멈
마노	m a̠ n o̞	마노
마누	m a̠ n u	마누
마니교	m a̠ n i ɡ j o	마니교
마니토바	m a̠ n i tʰ o̞ b a̠	마니토바
마님	m a̠ː n i m	마님
마당너구리	m a̠ d a̠ ŋ n ʌ̹ ɡ u ɾ i	마당너구리
마두금	m a̠ d u ɡ ɯ m	마두금
마련되다	m a̠ ɾ j ʌ̹ n d w e̞ d a̠	마련되다
마렵다	m a̠ ɾ j ʌ̹ p̚ t͈ a̠	마렵따
마르다	m a̠ ɾ ɯ d a̠	마르다
마른	m a̠ ɾ ɯ n	마른
마리아주	m a̠ ɾ i a̠ d͡ʑ u	마리아주
마리후아나	m a̠ ɾ i β u a̠ n a̠	마리후아나
마립간	m a̠ ɾ i p̚ k͈ a̠ n	마립깐
마마보이	m a̠ m a̠ b o̞ i	마마보이
마멀레이드	m a̠ m ʌ̹ ɭ ɭ e̞ i d ɯ	마멀레이드
마무리하다	m a̠ m u ɾ i ɦ a̠ d a̠	마무리하다
마사지하다	m a̠ sʰ a̠ d͡ʑ i ɦ a̠ d a̠	마사지하다
마선	m a̠ sʰ ʌ̹ n	마선
마세루	m a̠ sʰ e̞ ɾ u	마세루
마시나	m a̠ ɕʰ i n a̠	마시나
마실	m a̠ ɕʰ i ɭ	마실
마우자	m a̠ u d͡ʑ a̠	마우자
마육	m a̠ː j u k̚	마육
마음껏	m a̠ ɯ m k͈ ʌ̹ t̚	마음껃
마음성	m a̠ ɯ m s͈ ʌ̹ ŋ	마음썽
마음쓰다	m a̠ ɯ m s͈ ɯ d a̠	마음쓰다
마이크로버스	m a̠ i k x ɯ ɾ o̞ b ʌ̹ sʰ ɯ	마이크로버스
마이크로프로세서	m a̠ i k x ɯ ɾ o̞ pʰ ɯ ɾ o̞ s͈ e̞ s͈ ʌ̹	마이크로프로쎄써
마이트너륨	m a̠ i tʰ ɯ n ʌ̹ ɾ j u m	마이트너륨
마인어	m a̠ː i n ʌ̹	마이너
마쟈르	m a̠ d͡ʑ a̠ ɾ ɯ	마자르
마저	m a̠ d͡ʑ ʌ̹	마저
마주치다	m a̠ d͡ʑ u t͡ɕʰ i d a̠	마주치다
마중하다	m a̠ d͡ʑ u ŋ ɦ a̠ d a̠	마중하다
마찰되다	m a̠ t͡ɕʰ a̠ ɭ d w e̞ d a̠	마찰되다
마찰하다	m a̠ t͡ɕʰ a̠ ɾ ɦ a̠ d a̠	마찰하다
마취약	m a̠ t͡ɕʰ ɥ i j a̠ k̚	마취약
마취제	m a̠ t͡ɕʰ ɥ i d͡ʑ e̞	마취제
마치다	m a̠ t͡ɕʰ i d a̠	마치다
마케도니아어	m a̠ kʰ e̞ d o̞ n i a̠ ʌ̹	마케도니아어
마티아	m a̠ tʰ i a̠	마티아
마파두부	m a̠ pʰ a̠ d u b u	마파두부
마파람	m a̠ pʰ a̠ ɾ a̠ m	마파람
마포	m a̠ pʰ o̞	마포
마하	m a̠ ɦ a̠	마하
