ᆯ지	ʎ t͡ɕ͈ i	ㄹ찌
대령	t ɛː ɾ j ʌ̹ ŋ	대령
대륙	t ɛː ɾ j u k̚	대륙
대리석	t ɛː ɾ i sʰ ʌ̹ k̚	대리석
대리인	t ɛː ɾ i i n	대리인
대리점	t ɛː ɾ i d͡ʑ ʌ̹ m	대리점
대마	t ɛː m a̠	대마
대명사	t ɛː m j ʌ̹ ŋ sʰ a̠	대명사
대모	t ɛː m o̞	대모
대문	t ɛː m u n	대문
대박	t ɛː b a̠ k̚	대박
대변	t ɛː b j ʌ̹ n	대변
대보름	t ɛː b o̞ ɾ ɯ m	대보름
대부분	t ɛː b u b u n	대부분
대비하다	t ɛː b i ɦ a̠ d a̠	대비하다
대사	t ɛː sʰ a̠	대사
대사관	t ɛː sʰ a̠ ɡ w a̠ n	대사관
대상	t ɛː sʰ a̠ ŋ	대상
대서양	t ɛː sʰ ʌ̹ j a̠ ŋ	대서양
대성당	t ɛː sʰ ʌ̹ ŋ d a̠ ŋ	대성당
대수	t ɛː sʰ u	대수
대신	t ɛː ɕʰ i n	대신
대양	t ɛː j a̠ ŋ	대양
대여섯	t ɛː j ʌ̹ sʰ ʌ̹ t̚	대여섣
대역죄	t ɛː j ʌ̹ k̚ t͡ɕ͈ w e̞	대역쬐
대영제국	t ɛː j ʌ̹ ŋ d͡ʑ e̞ ɡ u k̚	대영제국
대우	t ɛː u	대우
대원수	t ɛː w ʌ̹ n sʰ u	대원수
대위	t ɛː ɥ i	대위
대응	t ɛː ɯ ŋ	대응
대자보	t ɛː d͡ʑ a̠ b o̞	대자보
대작자	t ɛː d͡ʑ a̠ k̚ t͡ɕ͈ a̠	대작짜
대장	t ɛː d͡ʑ a̠ ŋ	대장
대전	t ɛː d͡ʑ ʌ̹ n	대전
대접	t ɛː d͡ʑ ʌ̹ p̚	대접
대접하다	t ɛː d͡ʑ ʌ̹ pʰ a̠ d a̠	대저파다
대주교	t ɛː d͡ʑ u ɡ j o	대주교
대중	t ɛː d͡ʑ u ŋ	대중
대중교통	t ɛː d͡ʑ u ŋ ɡ j o tʰ o̞ ŋ	대중교통
대중문화	t ɛː d͡ʑ u ŋ m u n β w a̠	대중문화
대중음악	t ɛː d͡ʑ u ŋ ɯ m a̠ k̚	대주으막
대지	t ɛː d͡ʑ i	대지
대체로	t ɛː t͡ɕʰ e̞ ɾ o̞	대체로
대출	t ɛː t͡ɕʰ u ɭ	대출
대충	t ɛː t͡ɕʰ u ŋ	대충
대치	t ɛː t͡ɕʰ i	대치
대퇴	t ɛː tʰ w e̞	대퇴
대포	t ɛː pʰ o̞	대포
대폭적	t ɛː pʰ o̞ k̚ t͡ɕ͈ ʌ̹ k̚	대폭쩍
대표	t ɛː pʰ j o	대표
대표단	t ɛː pʰ j o d a̠ n	대표단
대표적	t ɛː pʰ j o d͡ʑ ʌ̹ k̚	대표적
대학	t ɛː ɦ a̠ k̚	대학
대학교	t ɛː ɦ a̠ k̚ k͈ j o	대학꾜
대학수학능력시험	t ɛː ɦ a̠ k s͈ u ɦ a̠ ŋ n ɯ ŋ ɲ j ʌ̹ k ɕ͈ i ɦ ʌ̹ m	대학쑤항능녁씨험
대학원	t ɛː ɦ a̠ ɡ w ʌ̹ n	대하권
대한민국	t ɛː ɦ a̠ n m i n ɡ u k̚	대한민국
대한제국	t ɛː ɦ a̠ ɲ d͡ʑ e̞ ɡ u k̚	대한제국
대합실	t ɛː ɦ a̠ p ɕ͈ i ɭ	대합씰
대회	t ɛː β w e̞	대회
더듬다	t ʌ̹ d ɯ m t͈ a̠	더듬따
더듬이	t ʌ̹ d ɯ m i	더드미
더러워지다	t ɘː ɾ ʌ̹ w ʌ̹ d͡ʑ i d a̠	더러워지다
더럽다	t ɘː ɾ ʌ̹ p̚ t͈ a̠	더럽따
더미	t ʌ̹ m i	더미
더불다	t ʌ̹ b u ɭ d a̠	더불다
더불어	t ʌ̹ b u ɾ ʌ̹	더부러
더블린	t ʌ̹ b ɯ ʎ ʎ i n	더블린
더빙	t ʌ̹ b i ŋ	더빙
더욱	t ʌ̹ u k̚	더욱
더욱이	t ʌ̹ u ɡ i	더우기
더위	t ʌ̹ ɥ i	더위
더위팔기	t ʌ̹ ɥ i pʰ a̠ ɭ ɡ i	더위팔기
더하기	t ʌ̹ ɦ a̠ ɡ i	더하기
더하다	t ʌ̹ ɦ a̠ d a̠	더하다
덕분	t ʌ̹ k̚ p͈ u n	덕뿐
덕트	t ʌ̹ k̚ tʰ ɯ	덕트
던데	t ʌ̹ n d e̞	던데
던지다	t ʌ̹ ɲ d͡ʑ i d a̠	던지다
던지럽다	t ɘː ɲ d͡ʑ i ɾ ʌ̹ p̚ t͈ a̠	던지럽따
덧글	t ʌ̹ t̚ k͈ ɯ ɭ	덛끌
덧머리	t ʌ̹ n m ʌ̹ ɾ i	던머리
덩어리	t ʌ̹ ŋ ʌ̹ ɾ i	더어리
덮이다	t ʌ̹ pʰ i d a̠	더피다
데릴사위	t e̞ ɾ i ɭ s͈ a̠ ɥ i	데릴싸위
데모	t e̞ m o̞	데모
데이터	t e̞ i tʰ ʌ̹	데이터
데이터베이스	t e̞ i tʰ ʌ̹ b e̞ i sʰ ɯ	데이터베이스
데이트	t e̞ i tʰ ɯ	데이트
덴마크	t e̞ n m a̠ k x ɯ	덴막흐
덴마크어	t e̞ n m a̠ k x ɯ ʌ̹	덴막흐어
덴뿌라	t e̞ n p͈ u ɾ a̠	덴뿌라
델리	t e̞ ʎ ʎ i	델리
도가니	t o̞ ɡ a̠ n i	도가니
도교	t o̞ː ɡ j o	도교
도구	t o̞ː ɡ u	도구
도금	t o̞ː ɡ ɯ m	도금
도기	t o̞ ɡ i	도기
도꾜	t o̞ k͈ j o	도꾜
도끼	t o̞ k͈ i	도끼
도난	t o̞ n a̠ n	도난
도넛	t o̞ n ʌ̹ t̚	도넏
도다리	t o̞ d a̠ ɾ i	도다리
도달	t o̞ː d a̠ ɭ	도달
도달하다	t o̞ː d a̠ ɾ ɦ a̠ d a̠	도달하다
도덕	t o̞ː d ʌ̹ k̚	도덕
도도마	t o̞ d o̞ m a̠	도도마
도둑	t o̞ d u k̚	도둑
도랑	t o̞ ɾ a̠ ŋ	도랑
도로	t o̞ː ɾ o̞	도로
도료	t o̞ ɾ j o	도료
도루	t o̞ ɾ u	도루
도륙	t o̞ ɾ j u k̚	도륙
도리어	t o̞ ɾ i ʌ̹	도리어
도망	t o̞ m a̠ ŋ	도망
도망치다	t o̞ m a̠ ŋ t͡ɕʰ i d a̠	도망치다
도메인	t o̞ m e̞ i n	도메인
도모	t o̞ m o̞	도모
도모하다	t o̞ m o̞ ɦ a̠ d a̠	도모하다
도미니카	t o̞ m i n i kʰ a̠	도미니카
도박	t o̞ b a̠ k̚	도박
도벽	t o̞ b j ʌ̹ k̚	도벽
도시	t o̞ ɕʰ i	도시
도시락	t o̞ ɕʰ i ɾ a̠ k̚	도시락
도예	t o̞ j e̞	도예
도우미	t o̞ u m i	도우미
도움	t o̞ u m	도움
도입	t o̞ː i p̚	도입
도입부	t o̞ i p̚ p͈ u	도입뿌
도자기	t o̞ d͡ʑ a̠ ɡ i	도자기
도작	t o̞ d͡ʑ a̠ k̚	도작
도장	t o̞ d͡ʑ a̠ ŋ	도장
도저히	t o̞ː d͡ʑ ʌ̹ ʝ i	도저히
도적	t o̞ d͡ʑ ʌ̹ k̚	도적
도전	t o̞ d͡ʑ ʌ̹ n	도전
도청	t o̞ː t͡ɕʰ ʌ̹ ŋ	도청
도청기	t o̞ t͡ɕʰ ʌ̹ ŋ ɡ i	도청기
도체	t o̞ː t͡ɕʰ e̞	도체
도파민	t o̞ pʰ a̠ m i n	도파민
도표	t o̞ pʰ j o	도표
도하	t o̞ ɦ a̠	도하
도회인	t o̞ β w e̞ i n	도회인
독감	t o̞ k̚ k͈ a̠ m	독깜
독극물	t o̞ k̚ k͈ ɯ ŋ m u ɭ	독끙물
독도	t o̞ k̚ t͈ o̞	독또
독립	t o̞ ŋ n i p̚	동닙
독립성	t o̞ ŋ n i p s͈ ʌ̹ ŋ	동닙썽
독물	t o̞ ŋ m u ɭ	동물
독방	t o̞ k̚ p͈ a̠ ŋ	독빵
독사	t o̞ k s͈ a̠	독싸
독살	t o̞ k s͈ a̠ ɭ	독쌀
독서	t o̞ k s͈ ʌ̹	독써
독서실	t o̞ k s͈ ʌ̹ ɕʰ i ɭ	독써실
독소	t o̞ k s͈ o̞	독쏘
독수리	t o̞ k s͈ u ɾ i	독쑤리
독신	t o̞ k ɕ͈ i n	독씬
독신자	t o̞ k ɕ͈ i ɲ d͡ʑ a̠	독씬자
독음	t o̞ ɡ ɯ m	도금
독일	t o̞ ɡ i ɭ	도길
독일어	t o̞ ɡ i ɾ ʌ̹	도기러
독자	t o̞ k̚ t͡ɕ͈ a̠	독짜
독점	t o̞ k̚ t͡ɕ͈ ʌ̹ m	독쩜
독주	t o̞ k̚ t͡ɕ͈ u	독쭈
독특하다	t o̞ k̚ tʰ ɯ kʰ a̠ d a̠	독트카다
돋다	t o̞ t̚ t͈ a̠	돋따
돋보기	t o̞ t̚ p͈ o̞ ɡ i	돋뽀기
돌격	t o̞ ɭ ɡ j ʌ̹ k̚	돌격
돌고기	t o̞ ɭ ɡ o̞ ɡ i	돌고기
돌돔	t o̞ː ɭ d o̞ m	돌돔
돌드	t o̞ ɭ d ɯ	돌드
돌리다	t o̞ ʎ ʎ i d a̠	돌리다
돌멩이	t o̞ː ɭ m e̞ ŋ i	돌메이
돌보다	t o̞ː ɭ b o̞ d a̠	돌보다
돌상어	t o̞ ɭ sʰ a̠ ŋ ʌ̹	돌사어
돌솥	t o̞ː ɭ sʰ o̞ t̚	돌솓
돌아가다	t o̞ ɾ a̠ ɡ a̠ d a̠	도라가다
돌아가시다	t o̞ ɾ a̠ ɡ a̠ ɕʰ i d a̠	도라가시다
돌아오다	t o̞ ɾ a̠ o̞ d a̠	도라오다
돌연	t o̞ ɾ j ʌ̹ n	도련
돌연변이	t o̞ ɾ j ʌ̹ n b j ʌ̹ n i	도련벼니
돌잡이	t o̞ ʎ d͡ʑ a̠ b i	돌자비
돌팔이	t o̞ː ɭ pʰ a̠ ɾ i	돌파리
돌하르방	t o̞ː ɾ ɦ a̠ ɾ ɯ b a̠ ŋ	돌하르방
돕다	t o̞ː p̚ t͈ a̠	돕따
돗자리	t o̞ t̚ t͡ɕ͈ a̠ ɾ i	돋짜리
동갑	t o̞ ŋ ɡ a̠ p̚	동갑
동거	t o̞ ŋ ɡ ʌ̹	동거
동거인	t o̞ ŋ ɡ ʌ̹ i n	동거인
동경	t o̞ ŋ ɡ j ʌ̹ ŋ	동경
동공	t o̞ː ŋ ɡ o̞ ŋ	동공
동그라미	t o̞ ŋ ɡ ɯ ɾ a̠ m i	동그라미
동글	t o̞ ŋ ɡ ɯ ɭ	동글
동글다	t o̞ ŋ ɡ ɯ ɭ d a̠	동글다
동기	t o̞ ŋ ɡ i	동기
동남아시아	t o̞ ŋ n a̠ m a̠ ɕʰ i a̠	동나마시아
동네	t o̞ː ŋ n e̞	동네
동력	t o̞ː ŋ ɲ j ʌ̹ k̚	동녁
동료	t o̞ ŋ ɲ j o	동뇨
동무	t o̞ ŋ m u	동무
동문서답	t o̞ ŋ m u n sʰ ʌ̹ d a̠ p̚	동문서답
동물	t o̞ː ŋ m u ɭ	동물
동물학	t o̞ː ŋ m u ɾ ɦ a̠ k̚	동물학
동반자	t o̞ ŋ b a̠ ɲ d͡ʑ a̠	동반자
동부	t o̞ ŋ b u	동부
동사리	t o̞ ŋ sʰ a̠ ɾ i	동사리
동산	t o̞ ŋ sʰ a̠ n	동산
동성	t o̞ ŋ sʰ ʌ̹ ŋ	동성
동시	t o̞ ŋ ɕʰ i	동시
동아리	t o̞ ŋ a̠ ɾ i	도아리
동안	t o̞ ŋ a̠ n	도안
동양	t o̞ ŋ j a̠ ŋ	도양
동업자	t o̞ ŋ ʌ̹ p̚ t͡ɕ͈ a̠	도업짜
동의	t o̞ ŋ ɰ i	도의
동의어	t o̞ ŋ ɰ i ʌ̹	도의어
동일하다	t o̞ ŋ i ɾ ɦ a̠ d a̠	도일하다
동작	t o̞ː ŋ d͡ʑ a̠ k̚	동작
동전	t o̞ ŋ d͡ʑ ʌ̹ n	동전
동정	t o̞ ŋ d͡ʑ ʌ̹ ŋ	동정
동지	t o̞ ŋ d͡ʑ i	동지
동쪽	t o̞ ŋ t͡ɕ͈ o̞ k̚	동쪽
동창	t o̞ ŋ t͡ɕʰ a̠ ŋ	동창
동포	t o̞ ŋ pʰ o̞	동포
동호회	t o̞ ŋ β o̞ β w e̞	동호회
동화	t o̞ː ŋ β w a̠	동화
돼지	t w ɛː d͡ʑ i	돼지
돼지꿈	t w ɛː d͡ʑ i k͈ u m	돼지꿈
되게	t w e̞ː ɡ e̞	되게
되놈	t w e̞ n o̞ m	되놈
되다	t w e̞ d a̠	되다
되찾다	t w e̞ t͡ɕʰ a̠ t̚ t͈ a̠	되찯따
되풀이	t w e̞ pʰ u ɾ i	되푸리
되풀이하다	t w e̞ pʰ u ɾ i ɦ a̠ d a̠	되푸리하다
된디읃	t w e̞ n d i ɯ t̚	된디읃
된비읍	t w e̞ n b i ɯ p̚	된비읍
된장	t w e̞ː ɲ d͡ʑ a̠ ŋ	된장
된장녀	t w e̞ː ɲ d͡ʑ a̠ ŋ ɲ j ʌ̹	된장녀
된장풀	t w e̞ ɲ d͡ʑ a̠ ŋ pʰ u ɭ	된장풀
됨됨	t w e̞ m d w e̞ m	됨됨
됨됨이	t w e̞ m d w e̞ m i	됨되미
두건	t u ɡ ʌ̹ n	두건
두견	t u ɡ j ʌ̹ n	두견
두근거리다	t u ɡ ɯ n ɡ ʌ̹ ɾ i d a̠	두근거리다
두근두근	t u ɡ ɯ n d u ɡ ɯ n	두근두근
두꺼비	t u k͈ ʌ̹ b i	두꺼비
두뇌	t u n w e̞	두뇌
두더지	t u d ʌ̹ d͡ʑ i	두더지
두드러기	t u d ɯ ɾ ʌ̹ ɡ i	두드러기
두드러지다	t u d ɯ ɾ ʌ̹ d͡ʑ i d a̠	두드러지다
두드리다	t u d ɯ ɾ i d a̠	두드리다
두려움	t u ɾ j ʌ̹ u m	두려움
두렵다	t u ɾ j ʌ̹ p̚ t͈ a̠	두렵따
두루미	t u ɾ u m i	두루미
두르다	t u ɾ ɯ d a̠	두르다
두마	t u m a̠	두마
두만강	t u m a̠ n ɡ a̠ ŋ	두만강
두만강자그사니	t u m a̠ n ɡ a̠ ŋ d͡ʑ a̠ ɡ ɯ sʰ a̠ n i	두만강자그사니
두목	t u m o̞ k̚	두목
두바이	t u b a̠ i	두바이
두반장	t u b a̠ ɲ d͡ʑ a̠ ŋ	두반장
두발	t u b a̠ ɭ	두발
두벌식	t u b ʌ̹ ɭ ɕʰ i k̚	두벌식
두부	t u b u	두부
두상	t u sʰ a̠ ŋ	두상
두서너	t u sʰ ʌ̹ n ʌ̹	두서너
두서넛	t u sʰ ʌ̹ n ʌ̹ t̚	두서넏
두세	t u sʰ e̞	두세
두어	t u ʌ̹	두어
두연	t u j ʌ̹ n	두연
두음	t u ɯ m	두음
두음법칙	t u ɯ m b ʌ̹ p̚ t͡ɕʰ i k̚	두음법칙
두절	t u d͡ʑ ʌ̹ ɭ	두절
두줄망둑	t uː d͡ʑ u ɭ m a̠ ŋ d u k̚	두줄망둑
두통	t u tʰ o̞ ŋ	두통
둔치다	t u ɲ t͡ɕʰ i d a̠	둔치다
둘러보다	t u ɭ ɭ ʌ̹ b o̞ d a̠	둘러보다
둘러싸다	t u ɭ ɭ ʌ̹ s͈ a̠ d a̠	둘러싸다
둘치	t u ʎ t͡ɕʰ i	둘치
둥지	t u ŋ d͡ʑ i	둥지
둥치	t u ŋ t͡ɕʰ i	둥치
뒤늦다	t ɥ iː n ɯ t̚ t͈ a̠	뒤늗따
뒤지다	t ɥ i d͡ʑ i d a̠	뒤지다
뒤집다	t ɥ i d͡ʑ i p̚ t͈ a̠	뒤집따
뒤쫓다	t ɥ iː t͡ɕ͈ o̞ t̚ t͈ a̠	뒤쫃따
뒷간	t ɥ iː t̚ k͈ a̠ n	뒫깐
뒷다리	t ɥ iː t̚ t͈ a̠ ɾ i	뒫따리
뒷마당	t ɥ iː n m a̠ d a̠ ŋ	뒨마당
뒷면	t ɥ iː n m j ʌ̹ n	뒨면
뒷모습	t ɥ iː n m o̞ sʰ ɯ p̚	뒨모습
뒹굴뒹굴	t ɥ i ŋ ɡ u ɭ d ɥ i ŋ ɡ u ɭ	뒹굴뒹굴
듀엣	t j u e̞ t̚	듀엗
듀오	t j u o̞	듀오
드라이브하다	t ɯ ɾ a̠ i b ɯ ɦ a̠ d a̠	드라이브하다
드럼	t ɯ ɾ ʌ̹ m	드럼
드르렁	t ɯ ɾ ɯ ɾ ʌ̹ ŋ	드르렁
드립	t ɯ ɾ i p̚	드립
드물다	t ɯ m u ɭ d a̠	드물다
득남	t ɯ ŋ n a̠ m	등남
득녀	t ɯ ŋ ɲ j ʌ̹	등녀
득점	t ɯ k̚ t͡ɕ͈ ʌ̹ m	득쩜
듣다	t ɯ t̚ t͈ a̠	듣따
들기름	t ɯ ɭ ɡ i ɾ ɯ m	들기름
들꿩	t ɯ ɭ k͈ w ʌ̹ ŋ	들꿩
들끓다	t ɯ ɭ k͈ ɯ ɭ tʰ a̠	들끌타
들다	t ɯ ɭ d a̠	들다
들러리	t ɯ ɭ ɭ ʌ̹ ɾ i	들러리
들르다	t ɯ ɭ ɭ ɯ d a̠	들르다
들어가다	t ɯ ɾ ʌ̹ ɡ a̠ d a̠	드러가다
들어서다	t ɯ ɾ ʌ̹ sʰ ʌ̹ d a̠	드러서다
들이다	t ɯ ɾ i d a̠	드리다
들쭉날쭉하다	t ɯ ʎ t͡ɕ͈ u ŋ n a̠ ʎ t͡ɕ͈ u kʰ a̠ d a̠	들쭝날쭈카다
듯이	t ɯ ɕʰ i	드시
등급	t ɯ ŋ ɡ ɯ p̚	등급
등등	t ɯː ŋ d ɯ ŋ	등등
등받이	t ɯ ŋ b a̠ d i	등바디
등불	t ɯ ŋ p͈ u ɭ	등뿔
등산	t ɯ ŋ sʰ a̠ n	등산
등심	t ɯ ŋ ɕʰ i m	등심
등유	t ɯ ŋ j u	드유
등자	t ɯ ŋ d͡ʑ a̠	등자
등장	t ɯ ŋ d͡ʑ a̠ ŋ	등장
등장인물	t ɯ ŋ d͡ʑ a̠ ŋ i n m u ɭ	등자인물
등줄숭어	t ɯ ŋ t͡ɕ͈ u ɭ sʰ u ŋ ʌ̹	등쭐수어
디귿	t i ɡ ɯ t̚	디귿
디디다	t i d i d a̠	디디다
디바이스	t i b a̠ i s͈ ɯ	디바이쓰
디스켓	t i sʰ ɯ kʰ e̞ t̚	디스켇
디스코	t i sʰ ɯ kʰ o̞	디스코
디스크	t i sʰ ɯ k x ɯ	디슥흐
디스플레이	t i sʰ ɯ pʰ ɯ ɭ ɭ e̞ i	디스플레이
디엔에이	t i e̞ n e̞ i	디에네이
디자인	t i d͡ʑ a̠ i n	디자인
디저트	t i d͡ʑ ʌ̹ tʰ ɯ	디저트
디지털	t i d͡ʑ i tʰ ʌ̹ ɭ	디지털
딩딩	t i ŋ d i ŋ	딩딩
따님	t͈ a̠ n i m	따님
따다	t͈ a̠ d a̠	따다
따뜻	t͈ a̠ t͈ ɯ t̚	따뜯
따뜻하다	t͈ a̠ t͈ ɯ tʰ a̠ d a̠	따뜨타다
따라가다	t͈ a̠ ɾ a̠ ɡ a̠ d a̠	따라가다
따라서	t͈ a̠ ɾ a̠ sʰ ʌ̹	따라서
따라하다	t͈ a̠ ɾ a̠ ɦ a̠ d a̠	따라하다
따로	t͈ a̠ ɾ o̞	따로
따르다	t͈ a̠ ɾ ɯ d a̠	따르다
따르릉	t͈ a̠ ɾ ɯ ɾ ɯ ŋ	따르릉
따름	t͈ a̠ ɾ ɯ m	따름
따오기	t͈ a̠ o̞ ɡ i	따오기
따위	t͈ a̠ ɥ i	따위
따이	t͈ a̠ i	따이
따지다	t͈ a̠ d͡ʑ i d a̠	따지다
딱딱하다	t͈ a̠ k̚ t͈ a̠ kʰ a̠ d a̠	딱따카다
딱지	t͈ a̠ k̚ t͡ɕ͈ i	딱찌
딸기	t͈ a̠ː ɭ ɡ i	딸기
딸꾹질	t͈ a̠ ɭ k͈ u k̚ t͡ɕ͈ i ɭ	딸꾹찔
땅크병	t͈ a̠ ŋ k x ɯ b j ʌ̹ ŋ	땅ㄱ흐병
땋다	t͈ a̠ː tʰ a̠	따타
땜납	t͈ ɛː m n a̠ p̚	땜납
떠다니다	t͈ ʌ̹ d a̠ n i d a̠	떠다니다
떠돌다	t͈ ʌ̹ d o̞ ɭ d a̠	떠돌다
떠들다	t͈ ɘː d ɯ ɭ d a̠	떠들다
떠들썩하다	t͈ ʌ̹ d ɯ ɭ s͈ ʌ̹ kʰ a̠ d a̠	떠들써카다
떠오르다	t͈ ʌ̹ o̞ ɾ ɯ d a̠	떠오르다
떡국	t͈ ʌ̹ k̚ k͈ u k̚	떡꾹
떡볶이	t͈ ʌ̹ k̚ p͈ o̞ k͈ i	떡뽀끼
떨다	t͈ ɘː ɭ d a̠	떨다
떨리다	t͈ ʌ̹ ʎ ʎ i d a̠	떨리다
떨어뜨리다	t͈ ʌ̹ ɾ ʌ̹ t͈ ɯ ɾ i d a̠	떠러뜨리다
떨어지다	t͈ ʌ̹ ɾ ʌ̹ d͡ʑ i d a̠	떠러지다
떨치다	t͈ ʌ̹ ʎ t͡ɕʰ i d a̠	떨치다
떳떳하다	t͈ ʌ̹ t̚ t͈ ʌ̹ tʰ a̠ d a̠	떧떠타다
떼지어	t͈ e̞ d͡ʑ i ʌ̹	떼지어
또는	t͈ o̞ n ɯ n	또는
또다시	t͈ o̞ d a̠ ɕʰ i	또다시
똑같다	t͈ o̞ k̚ k͈ a̠ t̚ t͈ a̠	똑깓따
똑같이	t͈ o̞ k̚ k͈ a̠ t͡ɕʰ i	똑까치
똑똑	t͈ o̞ k̚ t͈ o̞ k̚	똑똑
똑바로	t͈ o̞ k̚ p͈ a̠ ɾ o̞	똑빠로
똥침	t͈ o̞ ŋ t͡ɕʰ i m	똥침
똥파리	t͈ o̞ ŋ pʰ a̠ ɾ i	똥파리
뙤약볕	t͈ w e̞ j a̠ k̚ p͈ j ʌ̹ t̚	뙤약뼏
뚜렷하다	t͈ u ɾ j ʌ̹ tʰ a̠ d a̠	뚜려타다
뚱뚱하다	t͈ u ŋ t͈ u ŋ ɦ a̠ d a̠	뚱뚱하다
뛰다	t͈ ɥ i d a̠	뛰다
뛰어가다	t͈ ɥ i ʌ̹ ɡ a̠ d a̠	뛰어가다
뛰어나다	t͈ ɥ i ʌ̹ n a̠ d a̠	뛰어나다
뛰어다니다	t͈ ɥ i ʌ̹ d a̠ n i d a̠	뛰어다니다
뛰어들다	t͈ ɥ i ʌ̹ d ɯ ɭ d a̠	뛰어들다
뜨겁다	t͈ ɯ ɡ ʌ̹ p̚ t͈ a̠	뜨겁따
뜨다	t͈ ɯ d a̠	뜨다
뜯다	t͈ ɯ t̚ t͈ a̠	뜯따
뜸하다	t͈ ɯ m ɦ a̠ d a̠	뜸하다
뜻밖에	t͈ ɯ t̚ p͈ a̠ k͈ e̞	뜯빠께
뜻하다	t͈ ɯ tʰ a̠ d a̠	뜨타다
띄어쓰기	t͈ i ʌ̹ s͈ ɯ ɡ i	띠어쓰기
라고	ɾ a̠ ɡ o̞	라고
라고스	ɾ a̠ ɡ o̞ sʰ ɯ	라고스
라니	ɾ a̠ n i	라니
라돈	ɾ a̠ d o̞ n	라돈
라듐	ɾ a̠ d j u m	라듐
라디에이터	ɾ a̠ d i e̞ i tʰ ʌ̹	라디에이터
라디오	ɾ a̠ d i o̞	라디오
라며	ɾ a̠ m j ʌ̹	라며
라면	ɾ a̠ m j ʌ̹ n	라면
라바트	ɾ a̠ b a̠ tʰ ɯ	라바트
라벨	ɾ a̠ b e̞ ɭ	라벨
라볶이	ɾ a̠ b o̞ k͈ i	라보끼
라선	ɾ a̠ sʰ ʌ̹ n	라선
라오스	ɾ a̠ o̞ sʰ ɯ	라오스
라우터	ɾ a̠ u tʰ ʌ̹	라우터
라운지	ɾ a̠ u ɲ d͡ʑ i	라운지
라이벌	ɾ a̠ i b ʌ̹ ɭ	라이벌
라이베리아	ɾ a̠ i b e̞ ɾ i a̠	라이베리아
라이선스	ɾ a̠ i sʰ ʌ̹ n sʰ ɯ	라이선스
라이터	ɾ a̠ i tʰ ʌ̹	라이터
라이플	ɾ a̠ i pʰ ɯ ɭ	라이플
라인	ɾ a̠ i n	라인
라임	ɾ a̠ i m	라임
라트비아	ɾ a̠ tʰ ɯ b i a̠	라트비아
라트비아어	ɾ a̠ tʰ ɯ b i a̠ ʌ̹	라트비아어
라틴	ɾ a̠ tʰ i n	라틴
라파스	ɾ a̠ pʰ a̠ sʰ ɯ	라파스
락타	ɾ a̠ k̚ tʰ a̠	락타
랭면	ɾ ɛː ŋ m j ʌ̹ n	랭면
량강도	ɾ j a̠ ŋ ɡ a̠ ŋ d o̞	량강도
러시아어	ɾ ʌ̹ ɕʰ i a̠ ʌ̹	러시아어
러시아인	ɾ ʌ̹ ɕʰ i a̠ i n	러시아인
레몬	ɾ e̞ m o̞ n	레몬
레바논	ɾ e̞ b a̠ n o̞ n	레바논
레소토	ɾ e̞ sʰ o̞ tʰ o̞	레소토
레스토랑	ɾ e̞ sʰ ɯ tʰ o̞ ɾ a̠ ŋ	레스토랑
레슬링	ɾ e̞ sʰ ɯ ʎ ʎ i ŋ	레슬링
레위니옹	ɾ e̞ ɥ i n i o̞ ŋ	레위니옹
레이스	ɾ e̞ i sʰ ɯ	레이스
레이저	ɾ e̞ i d͡ʑ ʌ̹	레이저
레즈비언	ɾ e̞ d͡ʑ ɯ b i ʌ̹ n	레즈비언
레퍼토리	ɾ e̞ pʰ ʌ̹ tʰ o̞ ɾ i	레퍼토리
렌즈	ɾ e̞ ɲ d͡ʑ ɯ	렌즈
려관	ɾ j ʌ̹ ɡ w a̠ n	려관
련락	ɾ j ʌ̹ ɭ ɭ a̠ k̚	렬락
련습	ɾ j ɘː n sʰ ɯ p̚	련습
련합	ɾ j ʌ̹ n ɦ a̠ p̚	련합
령도자	ɾ j ʌ̹ ŋ d o̞ d͡ʑ a̠	령도자
로고	ɾ o̞ ɡ o̞	로고
로국	ɾ o̞ ɡ u k̚	로국
로그	ɾ o̞ ɡ ɯ	로그
로그인	ɾ o̞ ɡ ɯ i n	로그인
로또	ɾ o̞ t͈ o̞	로또
로렌슘	ɾ o̞ ɾ e̞ n ɕʰ u m	로렌숨
로마	ɾ o̞ m a̠	로마
로망	ɾ o̞ m a̠ ŋ	로망
로므니아	ɾ o̞ m ɯ n i a̠	로므니아
로보트	ɾ o̞ b o̞ tʰ ɯ	로보트
로사리오	ɾ o̞ sʰ a̠ ɾ i o̞	로사리오
로씨야	ɾ o̞ ɕ͈ i j a̠	로씨야
로어	ɾ o̞ ʌ̹	로어
로켓	ɾ o̞ kʰ e̞ t̚	로켇
로토	ɾ o̞ tʰ o̞	로토
로획	ɾ o̞ β w e̞ k̚	로획
롤러코스터	ɾ o̞ ɭ ɭ ʌ̹ kʰ o̞ sʰ ɯ tʰ ʌ̹	롤러코스터
뢴트겐	ɾ w e̞ n tʰ ɯ ɡ e̞ n	뢴트겐
료법	ɾ j o b ʌ̹ p̚	료법
루마니아	ɾ u m a̠ n i a̠	루마니아
루마니아어	ɾ u m a̠ n i a̠ ʌ̹	루마니아어
루머	ɾ u m ʌ̹	루머
루블	ɾ u b ɯ ɭ	루블
루사카	ɾ u sʰ a̠ kʰ a̠	루사카
