ᆜ	j ɯ
덤벙이다	t ʌ̹ m b ʌ̹ ŋ i d a̠
덤불	t ʌ̹ m b u ɭ
덧	t ʌ̹ t̚
덧니	t ʌ̹ n n i
덧문	t ʌ̹ n m u n
덧붙이다	t ʌ̹ t̚ p͈ u t͡ɕʰ i d a̠
덩굴	t ʌ̹ ŋ ɡ u ɭ
덩굴옻나무	t ʌ̹ ŋ ɡ u ɾ o̞ n n a̠ m u
덮다	t ʌ̹ p̚ t͈ a̠
덮밥	t ʌ̹ p̚ p͈ a̠ p̚
데거	t e̞ ɡ ʌ̹
데니스	t e̞ n i sʰ ɯ
데띠기	t e̞ t͈ i ɡ i
데려가다	t e̞ ɾ j ʌ̹ ɡ a̠ d a̠
데메테르	t e̞ m e̞ tʰ e̞ ɾ ɯ
데모하다	t e̞ m o̞ ɦ a̠ d a̠
데바나가리	t e̞ b a̠ n a̠ ɡ a̠ ɾ i
데오도란트	t e̞ o̞ d o̞ ɾ a̠ n tʰ ɯ
데이트하다	t e̞ i tʰ ɯ ɦ a̠ d a̠
데케인	t e̞ kʰ e̞ i n
데타	t e̞ tʰ a̠
덱스트린	t e̞ k s͈ ɯ tʰ ɯ ɾ i n
덴푸라	t e̞ n pʰ u ɾ a̠
델라웨어	t e̞ ɭ ɭ a̠ w e̞ ʌ̹
델러웨어	t e̞ ɭ ɭ ʌ̹ w e̞ ʌ̹
도	t o̞
도검	t o̞ ɡ ʌ̹ m
도공	t o̞ ɡ o̞ ŋ
도덕경	t o̞ d ʌ̹ k̚ k͈ j ʌ̹ ŋ
도록	t o̞ ɾ o̞ k̚
도륙되다	t o̞ ɾ j u k̚ t͈ w e̞ d a̠
도륙하다	t o̞ ɾ j u kʰ a̠ d a̠
도리	t o̞ ɾ i
도막	t o̞ m a̠ k̚
도망가다	t o̞ m a̠ ŋ ɡ a̠ d a̠
도망자	t o̞ m a̠ ŋ d͡ʑ a̠
도망하다	t o̞ m a̠ ŋ ɦ a̠ d a̠
도미	t o̞ m i
도보	t o̞ b o̞
도사	t o̞ sʰ a̠
도사하다	t o̞ sʰ a̠ ɦ a̠ d a̠
도삽	t o̞ sʰ a̠ p̚
도서	t o̞ sʰ ʌ̹
도서관원	t o̞ sʰ ʌ̹ ɡ w a̠ n w ʌ̹ n
도시화	t o̞ ɕʰ i β w a̠
도야지	t o̞ j a̠ d͡ʑ i
도예가	t o̞ j e̞ ɡ a̠
도와주다	t o̞ w a̠ d͡ʑ u d a̠
도움말	t o̞ u m m a̠ ɭ
도이	t o̞ i
도이췰란드	t o̞ i t͡ɕʰ ɥ i ɭ ɭ a̠ n d ɯ
도착하다	t o̞ː t͡ɕʰ a̠ kʰ a̠ d a̠
도토리묵	t o̞ tʰ o̞ ɾ i m u k̚
독	t o̞ k̚
독고	t o̞ k̚ k͈ o̞
독미나리	t o̞ ŋ m i n a̠ ɾ i
독본	t o̞ k̚ p͈ o̞ n
독불장군	t o̞ k̚ p͈ u ʎ d͡ʑ a̠ ŋ ɡ u n
독서하다	t o̞ k s͈ ʌ̹ ɦ a̠ d a̠
독어	t o̞ ɡ ʌ̹
돈	t o̞ː n
돈까스	t o̞ n k͈ a̠ sʰ ɯ
돈닢	t o̞ n n i p̚
돈벌레	t o̞ n p͈ ʌ̹ ɭ ɭ e̞
돋우다	t o̞ d u d a̠
돌	t o̞ ɭ
돌가자미	t o̞ ɭ ɡ a̠ d͡ʑ a̠ m i
돌격하다	t o̞ ɭ ɡ j ʌ̹ kʰ a̠ d a̠
돌려주다	t o̞ ʎ ʎ ʌ̹ d͡ʑ u d a̠
돌마자	t o̞ ɭ m a̠ d͡ʑ a̠
돌무화과나무	t o̞ ɭ m u β w a̠ ɡ w a̠ n a̠ m u
돌아보다	t o̞ ɾ a̠ b o̞ d a̠
돌아서다	t o̞ ɾ a̠ sʰ ʌ̹ d a̠
돌출	t o̞ ʎ t͡ɕʰ u ɭ
돌파되다	t o̞ ɭ pʰ a̠ d w e̞ d a̠
돌파하다	t o̞ ɭ pʰ a̠ ɦ a̠ d a̠
돐	t o̞ ɭ
돔발상어	t o̞ m b a̠ ɭ sʰ a̠ ŋ ʌ̹
동	t o̞ ŋ
동거하다	t o̞ ŋ ɡ ʌ̹ ɦ a̠ d a̠
동경하다	t o̞ː ŋ ɡ j ʌ̹ ŋ ɦ a̠ d a̠
동계	t o̞ ŋ ɡ j e̞
동궁	t o̞ ŋ ɡ u ŋ
동그랗다	t o̞ ŋ ɡ ɯ ɾ a̠ tʰ a̠
동글동글	t o̞ ŋ ɡ ɯ ɭ d o̞ ŋ ɡ ɯ ɭ
동녘	t o̞ ŋ ɲ ʌ̹ k̚
동독	t o̞ ŋ d o̞ k̚
동등하다	t o̞ ŋ d ɯ ŋ ɦ a̠ d a̠
동명사	t o̞ː ŋ m j ʌ̹ ŋ sʰ a̠
동명인	t o̞ ŋ m j ʌ̹ ŋ i n
동박꽃	t o̞ ŋ b a̠ k̚ k͈ o̞ t̚
동봉하다	t o̞ ŋ b o̞ ŋ ɦ a̠ d a̠
동북아	t o̞ ŋ b u ɡ a̠
동사하다	t o̞ː ŋ sʰ a̠ ɦ a̠ d a̠
동상이몽	t o̞ ŋ sʰ a̠ ŋ i m o̞ ŋ
동서고금	t o̞ ŋ sʰ ʌ̹ ɡ o̞ ɡ ɯ m
동성혼	t o̞ ŋ sʰ ʌ̹ ŋ β o̞ n
동양학	t o̞ ŋ j a̠ ŋ ɦ a̠ k̚
동역학	t o̞ː ŋ ɲ ʌ̹ kʰ a̠ k̚
동영상	t o̞ː ŋ ɲ ʌ̹ ŋ sʰ a̠ ŋ
동원	t o̞ː ŋ w ʌ̹ n
동원령	t o̞ː ŋ w ʌ̹ n ɲ ʌ̹ ŋ
동음이의어	t o̞ ŋ ɯ m i ɰ i ʌ̹
동의하다	t o̞ ŋ ɰ i ɦ a̠ d a̠
동자	t o̞ ŋ d͡ʑ a̠
동작하다	t o̞ː ŋ d͡ʑ a̠ kʰ a̠ d a̠
동정남	t o̞ː ŋ d͡ʑ ʌ̹ ŋ n a̠ m
동정녀	t o̞ː ŋ d͡ʑ ʌ̹ ŋ ɲ ʌ̹
동향	t o̞ː ŋ ʝ a̠ ŋ
돛	t o̞ t̚
되	t w e̞
되갈다	t w e̞ ɡ a̠ ɭ d a̠
되감다	t w e̞ ɡ a̠ m t͈ a̠
되강오리	t w e̞ː ɡ a̠ ŋ o̞ ɾ i
되뇌다	t w e̞ n w e̞ d a̠
되돌리다	t w e̞ d o̞ ʎ ʎ i d a̠
되살다	t w e̞ sʰ a̠ ɭ d a̠
되살리다	t w e̞ sʰ a̠ ʎ ʎ i d a̠
되야지	t w e̞ j a̠ d͡ʑ i
되어	t w e̞ ʌ̹
되지빠귀	t w e̞ː d͡ʑ i p͈ a̠ ɡ ɥ i
된시옷	t w e̞ː n ɕʰ i o̞ t̚
된지읒	t w e̞ ɲ d͡ʑ i ɯ t̚
됭경모치	t w e̞ ŋ ɡ j ʌ̹ ŋ m o̞ t͡ɕʰ i
두	t uː
두덩	t u d ʌ̹ ŋ
두레	t u ɾ e̞
두려워하다	t u ɾ j ʌ̹ w ʌ̹ ɦ a̠ d a̠
두루	t u ɾ u
두루마기	t u ɾ u m a̠ ɡ i
두루마리	t u ɾ u m a̠ ɾ i
두루바리	t u ɾ u b a̠ ɾ i
두릅	t u ɾ ɯ p̚
두릅나무	t u ɾ ɯ m n a̠ m u
두리안	t u ɾ i a̠ n
두만가시고기	t u m a̠ n ɡ a̠ ɕʰ i ɡ o̞ ɡ i
두문자	t u m u ɲ t͡ɕ͈ a̠
두샨베	t u ɕʰ a̠ n b e̞
두셋	t u sʰ e̞ t̚
두어서넛	t u ʌ̹ sʰ ʌ̹ n ʌ̹ t̚
두절되다	t u d͡ʑ ʌ̹ ɭ d w e̞ d a̠
두절하다	t u d͡ʑ ʌ̹ ɾ ɦ a̠ d a̠
두티다	t u tʰ i d a̠
둑	t u k̚
둔	t uː n
둔갑	t uː n ɡ a̠ p̚
둔갑법	t uː n ɡ a̠ p̚ p͈ ʌ̹ p̚
둔하다	t uː n ɦ a̠ d a̠
둘	t uː ɭ
둘레	t u ɭ ɭ e̞
둥간어	t u ŋ ɡ a̠ n ʌ̹
둥글다	t u ŋ ɡ ɯ ɭ d a̠
뒤	t ɥ iː
뒤꿈치	t ɥ i k͈ u m t͡ɕʰ i
뒤따르다	t ɥ iː t͈ a̠ ɾ ɯ d a̠
뒤떨어지다	t ɥ iː t͈ ʌ̹ ɾ ʌ̹ d͡ʑ i d a̠
뒤섞다	t ɥ i sʰ ʌ̹ k̚ t͈ a̠
뒤영벌	t ɥ i j ʌ̹ ŋ b ʌ̹ ɭ
뒤쥐	t ɥ i d͡ʑ ɥ i
뒷맛	t ɥ i n m a̠ t̚
뒷문	t ɥ iː n m u n
뒷북	t ɥ i t̚ p͈ u k̚
뒹굴다	t ɥ i ŋ ɡ u ɭ d a̠
드가다	t ɯ ɡ a̠ d a̠
드뎌	t ɯ d j ʌ̹
드라이기	t ɯ ɾ a̠ i ɡ i
드러나다	t ɯ ɾ ʌ̹ n a̠ d a̠
드렁허리	t ɯ ɾ ʌ̹ ŋ ɦ ʌ̹ ɾ i
드론	t ɯ ɾ o̞ n
드르렁드르렁	t ɯ ɾ ɯ ɾ ʌ̹ ŋ d ɯ ɾ ɯ ɾ ʌ̹ ŋ
드리다	t ɯ ɾ i d a̠
드리우다	t ɯ ɾ i u d a̠
드링크	t ɯ ɾ i ŋ k x ɯ
드시다	t ɯ ɕʰ i d a̠
득	t ɯ k̚
득남하다	t ɯ ŋ n a̠ m ɦ a̠ d a̠
득녀하다	t ɯ ŋ ɲ ʌ̹ ɦ a̠ d a̠
득도	t ɯ k̚ t͈ o̞
득도하다	t ɯ k̚ t͈ o̞ ɦ a̠ d a̠
득의양양	t ɯ ɡ ɰ i j a̠ ŋ j a̠ ŋ
득의양양하다	t ɯ ɡ ɰ i j a̠ ŋ j a̠ ŋ ɦ a̠ d a̠
득점판	t ɯ k̚ t͡ɕ͈ ʌ̹ m pʰ a̠ n
득템	t ɯ k̚ tʰ e̞ m
든	t ɯ n
들	t ɯː ɭ
들뜨다	t ɯ ɭ t͈ ɯ d a̠
들려오다	t ɯ ʎ ʎ ʌ̹ o̞ d a̠
들리다	t ɯ ʎ ʎ i d a̠
들어올리다	t ɯ ɾ ʌ̹ o̞ ʎ ʎ i d a̠
들이마시다	t ɯ ɾ i m a̠ ɕʰ i d a̠
들이밀다	t ɯ ɾ i m i ɭ d a̠
들쥐	t ɯ ʎ d͡ʑ ɥ i
들창	t ɯ ʎ t͡ɕʰ a̠ ŋ
들창코	t ɯ ʎ t͡ɕʰ a̠ ŋ kʰ o̞
들창코원숭이	t ɯ ʎ t͡ɕʰ a̠ ŋ kʰ o̞ w ʌ̹ n sʰ u ŋ i
들치기	t ɯ ʎ t͡ɕʰ i ɡ i
듯	t ɯ t̚
등	t ɯ ŋ
등걸	t ɯ ŋ ɡ ʌ̹ ɭ
등광	t ɯ ŋ ɡ w a̠ ŋ
등굣길	t ɯ ŋ ɡ j o t̚ k͈ i ɭ
등기우편	t ɯ ŋ ɡ i u pʰ j ʌ̹ n
등드름	t ɯ ŋ d ɯ ɾ ɯ m
등락	t ɯ ŋ n a̠ k̚
등락하다	t ɯ ŋ n a̠ kʰ a̠ d a̠
등록기	t ɯ ŋ n o̞ k̚ k͈ i
등록하다	t ɯ ŋ n o̞ kʰ a̠ d a̠
등롱	t ɯ ŋ n o̞ ŋ
등산로	t ɯ ŋ sʰ a̠ n n o̞
등산하다	t ɯ ŋ sʰ a̠ n ɦ a̠ d a̠
등송	t ɯ ŋ sʰ o̞ ŋ
등송하다	t ɯ ŋ sʰ o̞ ŋ ɦ a̠ d a̠
등식	t ɯ ŋ ɕʰ i k̚
등잔	t ɯ ŋ d͡ʑ a̠ n
등장하다	t ɯ ŋ d͡ʑ a̠ ŋ ɦ a̠ d a̠
등줄쥐	t ɯ ŋ d͡ʑ u ʎ d͡ʑ ɥ i
등피	t ɯ ŋ pʰ i
등허리	t ɯ ŋ ɦ ʌ̹ ɾ i
디	t i
디스프로슘	t i sʰ ɯ pʰ ɯ ɾ o̞ ɕʰ u m
딜	t i ɭ
딜리	t i ʎ ʎ i
딥톡	t i p̚ tʰ o̞ k̚
딮	t i p̚
따	t͈ a̠
따깐	t͈ a̠ k͈ a̠ n
따라오다	t͈ a̠ ɾ a̠ o̞ d a̠
따오다	t͈ a̠ o̞ d a̠
딱	t͈ a̠ k̚
딱다그르르딱다그르르하다	t͈ a̠ k̚ t͈ a̠ ɡ ɯ ɾ ɯ ɾ ɯ t͈ a̠ k̚ t͈ a̠ ɡ ɯ ɾ ɯ ɾ ɯ ɦ a̠ d a̠
딱따구리	t͈ a̠ k̚ t͈ a̠ ɡ u ɾ i
딱정그리마	t͈ a̠ k̚ t͡ɕ͈ ʌ̹ ŋ ɡ ɯ ɾ i m a̠
딴	t͈ a̠ n
딸	t͈ a̠ ɭ
딸감	t͈ a̠ ɭ k͈ a̠ m
딸딸이	t͈ a̠ ɭ t͈ a̠ ɾ i
딸아들	t͈ a̠ ɾ a̠ d ɯ ɭ
땀	t͈ a̠ m
땃쥐	t͈ a̠ t̚ t͡ɕ͈ ɥ i
땅	t͈ a̠ ŋ
땅감	t͈ a̠ ŋ ɡ a̠ m
땅거미	t͈ a̠ ŋ k͈ ʌ̹ m i
땅벌	t͈ a̠ ŋ b ʌ̹ ɭ
땅속길	t͈ a̠ ŋ s͈ o̞ k̚ k͈ i ɭ
땅이름	t͈ a̠ ŋ i ɾ ɯ m
땅크	t͈ a̠ ŋ k x ɯ
땅흔들림	t͈ a̠ ŋ ɣ ɯ n d ɯ ʎ ʎ i m
때다	t͈ ɛː d a̠
땔나무	t͈ ɛː ɭ ɭ a̠ m u
떠나가다	t͈ ʌ̹ n a̠ ɡ a̠ d a̠
떠벌리다	t͈ ʌ̹ b ʌ̹ ʎ ʎ i d a̠
떠올리다	t͈ ʌ̹ o̞ ʎ ʎ i d a̠
떡	t͈ ʌ̹ k̚
떡갈나무	t͈ ʌ̹ k̚ k͈ a̠ ɭ ɭ a̠ m u
떡밥	t͈ ʌ̹ k̚ p͈ a̠ p̚
떡붕어	t͈ ʌ̹ k̚ p͈ u ŋ ʌ̹
떡치다	t͈ ʌ̹ k̚ t͡ɕʰ i d a̠
떰치	t͈ ʌ̹ m t͡ɕʰ i
떼	t͈ e̞
떼아트르	t͈ e̞ a̠ tʰ ɯ ɾ ɯ
떼짓다	t͈ e̞ d͡ʑ i t̚ t͈ a̠
떽	t͈ e̞ k̚
뗀노	t͈ e̞ n n o̞
또	t͈ o̞
똑	t͈ o̞ k̚
똘똘이	t͈ o̞ ɭ t͈ o̞ ɾ i
똠얌	t͈ o̞ m j a̠ m
똥	t͈ o̞ ŋ
똥구멍	t͈ o̞ ŋ k͈ u m ʌ̹ ŋ
똥까시	t͈ o̞ ŋ k͈ a̠ ɕʰ i
똥남아	t͈ o̞ ŋ n a̠ m a̠
똥싸다	t͈ o̞ ŋ s͈ a̠ d a̠
똥양인	t͈ o̞ ŋ j a̠ ŋ i n
똥차	t͈ o̞ ŋ t͡ɕʰ a̠
똬리	t͈ w a̠ ɾ i
뚊	t͈ j o m
뚝뚝하다	t͈ u k̚ t͈ u kʰ a̠ d a̠
뚧다	t͈ uː ɭ t͈ a̠
뚫리다	t͈ u ʎ ʎ i d a̠
뛰르끼예	t͈ ɥ i ɾ ɯ k͈ i j e̞
뛰어넘다	t͈ ɥ i ʌ̹ n ʌ̹ m t͈ a̠
뜨거워지다	t͈ ɯ ɡ ʌ̹ w ʌ̹ d͡ʑ i d a̠
뜨락또르	t͈ ɯ ɾ a̠ k̚ t͈ o̞ ɾ ɯ
뜬금없다	t͈ ɯ n ɡ ɯ m ʌ̹ p̚ t͈ a̠
뜬금포	t͈ ɯ n ɡ ɯ m pʰ o̞
뜬소문	t͈ ɯ n sʰ o̞ m u n
뜰	t͈ ɯ ɭ
뜸씨	t͈ ɯ m ɕ͈ i
뜸팡이	t͈ ɯ m pʰ a̠ ŋ i
뜻	t͈ ɯ t̚
띄다	t͈ iː d a̠
띄우다	t͈ i u d a̠
띠	t͈ i
띠걸이	t͈ i ɡ ʌ̹ ɾ i
띠다	t͈ iː d a̠
띠앗	t͈ i a̠ t̚
띵띵	t͈ i ŋ t͈ i ŋ
라	ɾ a̠
라그나로크	ɾ a̠ ɡ ɯ n a̠ ɾ o̞ k x ɯ
라마야나	ɾ a̠ m a̠ j a̠ n a̠
라비올리	ɾ a̠ b i o̞ ʎ ʎ i
라선특별시	ɾ a̠ sʰ ʌ̹ n tʰ ɯ k̚ p͈ j ʌ̹ ɭ ɕʰ i
라오어	ɾ a̠ o̞ ʌ̹
라이터돌	ɾ a̠ i tʰ ʌ̹ d o̞ ɭ
라이트세이버	ɾ a̠ i tʰ ɯ sʰ e̞ i b ʌ̹
라지에타	ɾ a̠ d͡ʑ i e̞ tʰ a̠
라지오	ɾ a̠ d͡ʑ i o̞
라찰	ɾ a̠ t͡ɕʰ a̠ ɭ
라침반	ɾ a̠ t͡ɕʰ i m b a̠ n
라켓	ɾ a̠ kʰ e̞ t̚
라크로스	ɾ a̠ k x ɯ ɾ o̞ s͈ ɯ
라틴화	ɾ a̠ tʰ i n β w a̠
락	ɾ a̠ k̚
락다운	ɾ a̠ k̚ t͈ a̠ u n
락사	ɾ a̠ k s͈ a̠
란	ɾ a̠ n
란소	ɾ a̠ n sʰ o̞
란타넘	ɾ a̠ n tʰ a̠ n ʌ̹ m
람	ɾ a̠ m
랍	ɾ a̠ p̚
랍치	ɾ a̠ p̚ t͡ɕʰ i
랑	ɾ a̠ ŋ
래빈	ɾ ɛː b i n
랭장고	ɾ ɛː ŋ d͡ʑ a̠ ŋ ɡ o̞
량	ɾ j a̠ ŋ
량반	ɾ j a̠ ŋ b a̠ n
량서류	ɾ j a̠ː ŋ sʰ ʌ̹ ɾ j u
량심	ɾ j a̠ ŋ ɕʰ i m
러	ɾ ʌ̹
러닝셔츠	ɾ ʌ̹ n i ŋ ɕʰ ʌ̹ t͡ɕʰ ɯ
러더포듐	ɾ ʌ̹ d ʌ̹ pʰ o̞ d j u m
러브샷	ɾ ʌ̹ b ɯ ɕʰ a̠ t̚
럼	ɾ ʌ̹ m
레	ɾ e̞
레깅스	ɾ e̞ ɡ i ŋ s͈ ɯ
레늄	ɾ e̞ ɲ u m
레닌	ɾ e̞ n i n
레루	ɾ e̞ː ɾ u
레모네이드	ɾ e̞ m o̞ n e̞ i d ɯ
레악토르	ɾ e̞ a̠ k̚ tʰ o̞ ɾ ɯ
레오	ɾ e̞ o̞
레위기	ɾ e̞ ɥ i ɡ i
레이다	ɾ e̞ i d a̠
레전드	ɾ e̞ d͡ʑ ʌ̹ n d ɯ
레코더	ɾ e̞ kʰ o̞ d ʌ̹
렌더링	ɾ e̞ n d ʌ̹ ɾ i ŋ
려	ɾ j ʌ̹
려권	ɾ j ʌ̹ ɡ w ʌ̹ n
려단	ɾ j ʌ̹ d a̠ n
력	ɾ j ʌ̹ k̚
력사	ɾ j ʌ̹ k s͈ a̠
련	ɾ j ʌ̹ n
련방	ɾ j ʌ̹ n b a̠ ŋ
련속극	ɾ j ʌ̹ n sʰ o̞ k̚ k͈ ɯ k̚
렬도	ɾ j ʌ̹ ɭ t͈ o̞
렬차	ɾ j ʌ̹ ʎ t͡ɕʰ a̠
렴	ɾ j ʌ̹ m
령	ɾ j ʌ̹ ŋ
령동	ɾ j ʌ̹ ŋ d o̞ ŋ
령사	ɾ j ʌ̹ ŋ sʰ a̠
령서	ɾ j ʌ̹ ŋ sʰ ʌ̹
례	ɾ j e̞
례절	ɾ j e̞ d͡ʑ ʌ̹ ɭ
로	ɾ o̞
로그아웃	ɾ o̞ ɡ ɯ a̠ u t̚
로동계급	ɾ o̞ d o̞ ŋ ɡ j e̞ ɡ ɯ p̚
로동자구	ɾ o̞ d o̞ ŋ d͡ʑ a̠ ɡ u
로듐	ɾ o̞ d j u m
로마자화	ɾ o̞ m a̠ d͡ʑ a̠ β w a̠
로메	ɾ o̞ m e̞
로베르트	ɾ o̞ b e̞ ɾ ɯ tʰ ɯ
로비	ɾ o̞ b i
로사	ɾ o̞ː sʰ a̠
로선	ɾ o̞ː sʰ ʌ̹ n
로씨야말	ɾ o̞ ɕ͈ i j a̠ m a̠ ɭ
로조	ɾ o̞ d͡ʑ o̞
로천	ɾ o̞ t͡ɕʰ ʌ̹ n
로케트	ɾ o̞ kʰ e̞ tʰ ɯ
로테르담	ɾ o̞ tʰ e̞ ɾ ɯ d a̠ m
로텔레	ɾ o̞ tʰ e̞ ɭ ɭ e̞
로티니	ɾ o̞ tʰ i n i
록	ɾ o̞ k̚
론	ɾ o̞ n
론단	ɾ o̞ n d a̠ n
론문	ɾ o̞ n m u n
롤	ɾ o̞ ɭ
롬곡	ɾ o̞ m ɡ o̞ k̚
롯	ɾ o̞ t̚
롱담	ɾ o̞ː ŋ d a̠ m
뢰	ɾ w e̞
뢴트게늄	ɾ w e̞ n tʰ ɯ ɡ e̞ ɲ u m
료금	ɾ j oː ɡ ɯ m
료리	ɾ j o ɾ i
료리사	ɾ j o ɾ i sʰ a̠
료리하다	ɾ j o ɾ i ɦ a̠ d a̠
룡	ɾ j o ŋ
루	ɾ u
루멘	ɾ u m e̞ n
루므니야	ɾ u m ɯ n i j a̠
루바슈카	ɾ u b a̠ ɕʰ u kʰ a̠
루비	ɾ u b i
루비듐	ɾ u b i d j u m
루시퍼	ɾ u ɕʰ i pʰ ʌ̹
루안다	ɾ u a̠ n d a̠
루이	ɾ u i
루이스	ɾ u i sʰ ɯ
루이지아나	ɾ u i d͡ʑ i a̠ n a̠
루페	ɾ u pʰ e̞
룩	ɾ u k̚
룸메이트	ɾ u m m e̞ i tʰ ɯ
류	ɾ j uː
류블랴나	ɾ j u b ɯ ʎ ʎ a̠ n a̠
류혈	ɾ j u ʝ ʌ̹ ɭ
류형	ɾ j uː ʝ ʌ̹ ŋ
륙	ɾ j u k̚
륙군	ɾ j u k̚ k͈ u n
륙십	ɾ j u k ɕ͈ i p̚
륙진방언	ɾ j u k̚ t͡ɕ͈ i n b a̠ ŋ ʌ̹ n
리	ɾ i
리가토니	ɾ i ɡ a̠ tʰ o̞ n i
리두	ɾ iː d u
리똬	ɾ i t͈ w a̠
리모넨	ɾ i m o̞ n e̞ n
리브르빌	ɾ i b ɯ ɾ ɯ b i ɭ
리비도	ɾ i b i d o̞
리사이틀	ɾ i sʰ a̠ i tʰ ɯ ɭ
리을	ɾ i ɯ ɭ
리자이나	ɾ i d͡ʑ a̠ i n a̠
리투아니아어	ɾ i tʰ u a̠ n i a̠ ʌ̹
린우드	ɾ i n u d ɯ
릴	ɾ i ɭ
릴롱궤	ɾ i ɭ ɭ o̞ ŋ ɡ w e̞
림	ɾ i m
립법	ɾ i p̚ p͈ ʌ̹ p̚
립자	ɾ i p̚ t͡ɕ͈ a̠
링	ɾ i ŋ
마	m a̠
마감	m a̠ ɡ a̠ m
마고	m a̠ ɡ o̞
마고자	m a̠ː ɡ o̞ d͡ʑ a̠
마귀상어	m a̠ ɡ ɥ i sʰ a̠ ŋ ʌ̹
마귀할멈	m a̠ ɡ ɥ i ɦ a̠ ɭ m ʌ̹ m
마노	m a̠ n o̞
마누	m a̠ n u
마니교	m a̠ n i ɡ j o
마니토바	m a̠ n i tʰ o̞ b a̠
마님	m a̠ː n i m
마당너구리	m a̠ d a̠ ŋ n ʌ̹ ɡ u ɾ i
마두금	m a̠ d u ɡ ɯ m
마련되다	m a̠ ɾ j ʌ̹ n d w e̞ d a̠
마렵다	m a̠ ɾ j ʌ̹ p̚ t͈ a̠
마르다	m a̠ ɾ ɯ d a̠
마른	m a̠ ɾ ɯ n
마리아주	m a̠ ɾ i a̠ d͡ʑ u
마리후아나	m a̠ ɾ i β u a̠ n a̠
마립간	m a̠ ɾ i p̚ k͈ a̠ n
마마보이	m a̠ m a̠ b o̞ i
마멀레이드	m a̠ m ʌ̹ ɭ ɭ e̞ i d ɯ
마무리하다	m a̠ m u ɾ i ɦ a̠ d a̠
마사지하다	m a̠ sʰ a̠ d͡ʑ i ɦ a̠ d a̠
마선	m a̠ sʰ ʌ̹ n
마세루	m a̠ sʰ e̞ ɾ u
마시나	m a̠ ɕʰ i n a̠
마실	m a̠ ɕʰ i ɭ
마우자	m a̠ u d͡ʑ a̠
마육	m a̠ː j u k̚
마음껏	m a̠ ɯ m k͈ ʌ̹ t̚
마음성	m a̠ ɯ m s͈ ʌ̹ ŋ
마음쓰다	m a̠ ɯ m s͈ ɯ d a̠
마이크로버스	m a̠ i k x ɯ ɾ o̞ b ʌ̹ sʰ ɯ
마이크로프로세서	m a̠ i k x ɯ ɾ o̞ pʰ ɯ ɾ o̞ s͈ e̞ s͈ ʌ̹
마이트너륨	m a̠ i tʰ ɯ n ʌ̹ ɾ j u m
마인어	m a̠ː i n ʌ̹
마쟈르	m a̠ d͡ʑ a̠ ɾ ɯ
마저	m a̠ d͡ʑ ʌ̹
마주치다	m a̠ d͡ʑ u t͡ɕʰ i d a̠
마중하다	m a̠ d͡ʑ u ŋ ɦ a̠ d a̠
마찰되다	m a̠ t͡ɕʰ a̠ ɭ d w e̞ d a̠
마찰하다	m a̠ t͡ɕʰ a̠ ɾ ɦ a̠ d a̠
마취약	m a̠ t͡ɕʰ ɥ i j a̠ k̚
마취제	m a̠ t͡ɕʰ ɥ i d͡ʑ e̞
마치다	m a̠ t͡ɕʰ i d a̠
마케도니아어	m a̠ kʰ e̞ d o̞ n i a̠ ʌ̹
마티아	m a̠ tʰ i a̠
마파두부	m a̠ pʰ a̠ d u b u
마파람	m a̠ pʰ a̠ ɾ a̠ m
마포	m a̠ pʰ o̞
마하	m a̠ ɦ a̠
마한	m a̠ː ɦ a̠ n
막	m a̠ k̚
막돌	m a̠ k̚ t͈ o̞ ɭ
막상	m a̠ k s͈ a̠ ŋ
만	m a̠ n
만국기	m a̠ː n ɡ u k̚ k͈ i
만두국	m a̠ n d u k͈ u k̚
만루	m a̠ː ɭ ɭ u
만리화	m a̠ ʎ ʎ i β w a̠
만만세	m a̠ː n m a̠ n sʰ e̞
만만하다	m a̠ n m a̠ n ɦ a̠ d a̠
만발하다	m a̠ː n b a̠ ɾ ɦ a̠ d a̠
만성적	m a̠ n sʰ ʌ̹ ŋ t͡ɕ͈ ʌ̹ k̚
만수르	m a̠ n s͈ u ɾ ɯ
만신	m a̠ː n ɕʰ i n
만신창이	m a̠ː n ɕʰ i ɲ t͡ɕʰ a̠ ŋ i
만억	m a̠ː n ʌ̹ k̚
만연체	m a̠ ɲ ʌ̹ ɲ t͡ɕʰ e̞
만연하다	m a̠ ɲ ʌ̹ n ɦ a̠ d a̠
만엽집	m a̠ː ɲ ʌ̹ p̚ t͡ɕ͈ i p̚
만우절	m a̠ː n u d͡ʑ ʌ̹ ɭ
만유하다	m a̠ː ɲ u ɦ a̠ d a̠
만이	m a̠ n i
만장일치	m a̠ː ɲ d͡ʑ a̠ ŋ i ʎ t͡ɕʰ i
만족하다	m a̠ ɲ d͡ʑ o̞ kʰ a̠ d a̠
만주어	m a̠ ɲ d͡ʑ u ʌ̹
만포	m a̠ː n pʰ o̞
만포장이다	m a̠ n pʰ o̞ d͡ʑ a̠ ŋ i d a̠
만화영화	m a̠ː n β w a̠ j ʌ̹ ŋ β w a̠
만회	m a̠ n β w e̞
만회되다	m a̠ n β w e̞ d w e̞ d a̠
만회하다	m a̠ n β w e̞ ɦ a̠ d a̠
말	m a̠ ɭ
말갛다	m a̠ː ɭ ɡ a̠ tʰ a̠
말거머리	m a̠ ɭ ɡ ʌ̹ m ʌ̹ ɾ i
